SA2_CODE_2021,SA2_NAME_2021,PHN_NAME_2023
318021468,Annandale (Qld),Northern Queensland
318021469,Belgian Gardens - Pallarenda,Northern Queensland
318021470,Bohle Plains,Northern Queensland
318021471,Condon - Rasmussen,Northern Queensland
318021472,Cranbrook,Northern Queensland
318021474,Douglas,Northern Queensland
318021475,Garbutt - West End,Northern Queensland
318021476,Gulliver - Currajong - Vincent,Northern Queensland
318021477,Heatley,Northern Queensland
318021478,Hermit Park - Rosslea,Northern Queensland
318021479,Hyde Park - Pimlico,Northern Queensland
318021480,Kelso,Northern Queensland
318021481,Kirwan - East,Northern Queensland
318021482,Kirwan - West,Northern Queensland
318021483,Magnetic Island,Northern Queensland
318021484,Mount Louisa,Northern Queensland
318021485,Mundingburra,Northern Queensland
318021486,Northern Beaches,Northern Queensland
318021487,Oonoonba,Northern Queensland
318021488,South Townsville - Railway Estate,Northern Queensland
318021489,Townsville - South,Northern Queensland
318021490,Townsville City - North Ward,Northern Queensland
318021491,Wulguru - Roseneath,Northern Queensland
318021582,Burdell - Mount Low,Northern Queensland
318021583,Deeragun - Jensen,Northern Queensland
319011492,Ashfield - Kepnock,"Central Queensland, Wide Bay, Sunshine Coast"
319011493,Bargara - Burnett Heads,"Central Queensland, Wide Bay, Sunshine Coast"
319011494,Branyan - Kensington,"Central Queensland, Wide Bay, Sunshine Coast"
319011495,Bundaberg,"Central Queensland, Wide Bay, Sunshine Coast"
319011496,Bundaberg East - Kalkie,"Central Queensland, Wide Bay, Sunshine Coast"
319011497,Bundaberg North - Gooburrum,"Central Queensland, Wide Bay, Sunshine Coast"
319011498,Bundaberg Surrounds - North,"Central Queensland, Wide Bay, Sunshine Coast"
319011499,Bundaberg Surrounds - South,"Central Queensland, Wide Bay, Sunshine Coast"
319011500,Millbank - Avoca,"Central Queensland, Wide Bay, Sunshine Coast"
319011501,Svensson Heights - Norville,"Central Queensland, Wide Bay, Sunshine Coast"
319011502,Walkervale - Avenell Heights,"Central Queensland, Wide Bay, Sunshine Coast"
319021503,Gayndah - Mundubbera,"Central Queensland, Wide Bay, Sunshine Coast"
319021504,Gin Gin,"Central Queensland, Wide Bay, Sunshine Coast"
319021505,Kingaroy,Darling Downs and West Moreton
319021506,Kingaroy Surrounds - North,"Central Queensland, Wide Bay, Sunshine Coast"
319021506,Kingaroy Surrounds - North,Darling Downs and West Moreton
319021507,Kingaroy Surrounds - South,Darling Downs and West Moreton
319021508,Monto - Eidsvold,"Central Queensland, Wide Bay, Sunshine Coast"
319021509,Nanango,Darling Downs and West Moreton
319021510,North Burnett,"Central Queensland, Wide Bay, Sunshine Coast"
319031511,Cooloola,"Central Queensland, Wide Bay, Sunshine Coast"
319031512,Gympie - North,"Central Queensland, Wide Bay, Sunshine Coast"
319031513,Gympie - South,"Central Queensland, Wide Bay, Sunshine Coast"
319031514,Gympie Surrounds,"Central Queensland, Wide Bay, Sunshine Coast"
319031515,Kilkivan,"Central Queensland, Wide Bay, Sunshine Coast"
319041516,Booral - River Heads,"Central Queensland, Wide Bay, Sunshine Coast"
319041517,Craignish - Dundowran Beach,"Central Queensland, Wide Bay, Sunshine Coast"
319041518,Pialba - Eli Waters,"Central Queensland, Wide Bay, Sunshine Coast"
319041519,Point Vernon,"Central Queensland, Wide Bay, Sunshine Coast"
319041520,Torquay - Scarness - Kawungan,"Central Queensland, Wide Bay, Sunshine Coast"
319041521,Urangan - Wondunna,"Central Queensland, Wide Bay, Sunshine Coast"
319051522,Burrum - Fraser,"Central Queensland, Wide Bay, Sunshine Coast"
319051523,Granville,"Central Queensland, Wide Bay, Sunshine Coast"
319051524,Maryborough (Qld),"Central Queensland, Wide Bay, Sunshine Coast"
319051525,Maryborough Surrounds - South,"Central Queensland, Wide Bay, Sunshine Coast"
319051526,Tinana,"Central Queensland, Wide Bay, Sunshine Coast"
